TICKERS
MMM
AOS
ABT
ABBV
ACN
ADBE
AMD
AES
AFL
A
APD
AKAM
ALB
ARE
ALGN
LNT
ALL
GOOGL
MO
AMZN
AEE
AAL
AEP
AXP
AIG
AMT
AWK
AMP
AME
AMGN
APH
ADI
ANSS
AON
APA
AAPL
AMAT
ACGL
ADM
AJG
AIZ
T
ATO
ADSK
ADP
AZO
AVB
AVY
BAC
BK
BAX
BDX
BBY
BIO
TECH
BIIB
BLK
BA
BWA
BSX
BMY
AVGO
BR
BRO
BLDR
BG
BXP
CDNS
CZR
CPT
CPB
COF
CAH
KMX
CCL
CAT
CBOE
CE
COR
CNC
CNP
CF
CHRW
CRL
SCHW
CHTR
CVX
CMG
CB
CHD
CI
CINF
CTAS
CSCO
C
CLX
CME
CMS
KO
CTSH
CL
CMCSA
CAG
COP
ED
STZ
COO
CPRT
GLW
CSGP
COST
CCI
CSX
CMI
CVS
DHR
DRI
DVA
DECK
DE
DAL
DVN
DXCM
FANG
DLR
DFS
DG
DLTR
D
DPZ
DOV
DOW
DHI
DTE
DUK
DD
EMN
ETN
EBAY
ECL
EIX
EW
EA
LLY
EMR
ENPH
ETR
EOG
EPAM
EQT
EFX
EQIX
EQR
ESS
EL
ES
EXC
EXPE
EXPD
EXR
XOM
FFIV
FDS
FICO
FAST
FRT
FDX
FIS
FITB
FSLR
FE
FMC
F
FTNT
FOXA
FOX
BEN
FCX
GRMN
IT
GE
GNRC
GD
GIS
GM
GPC
GILD
GPN
GS
HAL
HIG
HAS
HCA
HSIC
HSY
HES
HOLX
HD
HON
HRL
HST
HPQ
HUM
HBAN
HII
IBM
IEX
IDXX
ITW
INCY
IR
PODD
INTC
ICE
IFF
IP
IPG
INTU
ISRG
IVZ
IRM
JBHT
JBL
JKHY
JNJ
JCI
JPM
JNPR
K
KEY
KMB
KIM
KMI
KLAC
KR
LH
LRCX
LVS
LDOS
LEN
LYV
LKQ
LMT
L
LOW
LYB
MTB
MRO
MPC
MKTX
MAR
MMC
MLM
MAS
MA
MKC
MCD
MCK
MDT
MRK
MET
MTD
MGM
MCHP
MU
MSFT
MAA
MHK
MOH
TAP
MDLZ
MPWR
MNST
MCO
MS
MOS
MSI
MSCI
NDAQ
NTAP
NFLX
NEM
NEE
NKE
NI
NDSN
NSC
NTRS
NOC
NCLH
NRG
NUE
NVDA
NVR
ORLY
OXY
ODFL
OMC
OKE
ORCL
PCAR
PKG
PANW
PH
PAYX
PNR
PEP
PFE
PCG
PM
PSX
PNW
PNC
POOL
PPL
PFG
PG
PGR
PLD
PRU
PEG
PSA
PHM
PWR
QCOM
DGX
RL
RJF
O
REG
REGN
RF
RSG
RMD
ROK
ROL
ROP
ROST
RCL
CRM
SBAC
SLB
STX
SRE
NOW
SHW
SPG
SWKS
SJM
SNA
SO
LUV
SWK
SBUX
STT
STLD
STE
SYK
SMCI
SNPS
SYY
TMUS
TROW
TTWO
TRGP
TGT
TEL
TDY
TFX
TER
TSLA
TXN
TXT
TMO
TJX
TSCO
TDG
TRMB
TYL
TSN
USB
UDR
ULTA
UNP
UAL
UPS
URI
UNH
UHS
VLO
VTR
VRSN
VRSK
VZ
VRTX
V
VMC
WRB
GWW
WAB
WBA
WMT
DIS
WM
WAT
WEC
WFC
WST
WDC
WY
WMB
WTW
WYNN
XEL
XYL
YUM
ZBRA
ZBH
ZTS
