Symbol
ABNB
ALLE
GOOG
AMCR
APTV
ANET
AXON
BKR
BALL
BBWI
BRK.B
BX
BKNG
BF.B
CARR
CTLT
CBRE
CDW
CFG
CEG
CPAY
CTVA
CTRA
CRWD
DAY
ELV
ETSY
EG
EVRG
FI
FTV
GEHC
GEV
GEN
GL
GDDY
DOC
HPE
HLT
HWM
HUBB
INVH
IQV
J
KVUE
KDP
KEYS
KKR
KHC
LHX
LW
LIN
LULU
MTCH
META
MRNA
NWSA
NWS
NXPI
ON
OTIS
PARA
PAYC
PYPL
PPG
PTC
QRVO
RTX
RVTY
SPGI
SW
SOLV
SYF
TPR
TT
TRV
TFC
UBER
VLTO
VTRS
VICI
VST
WBD
WELL
